Order ID,Order Date,Ship Date,Customer ID,Sales,Quantity,Profit
CA-2016-152156,11/8/2016,11/11/2016,CG-12520,261.96,2,41.9136
CA-2016-152156,11/8/2016,11/11/2016,CG-12520,731.94,3,219.582
CA-2016-138688,6/12/2016,6/16/2016,DV-13045,14.62,2,6.8714
US-2015-108966,10/11/2015,10/18/2015,SO-20335,957.5775,5,-383.031
US-2015-108966,10/11/2015,10/18/2015,SO-20335,22.368,2,2.5164
CA-2014-115812,6/9/2014,6/14/2014,BH-11710,48.86,7,14.1694
CA-2014-115812,6/9/2014,6/14/2014,BH-11710,7.28,4,1.9656
CA-2014-115812,6/9/2014,6/14/2014,BH-11710,907.152,6,90.7152
CA-2014-115812,6/9/2014,6/14/2014,BH-11710,18.504,3,5.7825
CA-2014-115812,6/9/2014,6/14/2014,BH-11710,114.9,5,34.47
CA-2014-115812,6/9/2014,6/14/2014,BH-11710,1706.184,9,85.3092
CA-2014-115812,6/9/2014,6/14/2014,BH-11710,911.424,4,68.3568
CA-2017-114412,4/15/2017,4/20/2017,AA-10480,15.552,3,5.4432
CA-2016-161389,12/5/2016,12/10/2016,IM-15070,407.976,3,132.5922
US-2015-118983,11/22/2015,11/26/2015,HP-14815,68.81,5,-123.858
US-2015-118983,11/22/2015,11/26/2015,HP-14815,2.544,3,-3.816
CA-2014-105893,11/11/2014,11/18/2014,PK-19075,665.88,6,13.3176
CA-2014-167164,5/13/2014,5/15/2014,AG-10270,55.5,2,9.99
CA-2014-143336,8/27/2014,9/1/2014,ZD-21925,8.56,2,2.4824
CA-2014-143336,8/27/2014,9/1/2014,ZD-21925,213.48,3,16.011
CA-2014-143336,8/27/2014,9/1/2014,ZD-21925,22.72,4,7.384
CA-2016-137330,12/9/2016,12/13/2016,KB-16585,19.46,7,5.0596
CA-2016-137330,12/9/2016,12/13/2016,KB-16585,60.34,7,15.6884
US-2017-156909,7/16/2017,7/18/2017,SF-20065,71.372,2,-1.0196
CA-2015-106320,9/25/2015,9/30/2015,EB-13870,1044.63,3,240.2649
CA-2016-121755,1/16/2016,1/20/2016,EH-13945,11.648,2,4.2224
CA-2016-121755,1/16/2016,1/20/2016,EH-13945,90.57,3,11.7741
US-2015-150630,9/17/2015,9/21/2015,TB-21520,3083.43,7,-1665.0522
US-2015-150630,9/17/2015,9/21/2015,TB-21520,9.618,2,-7.0532
US-2015-150630,9/17/2015,9/21/2015,TB-21520,124.2,3,15.525
US-2015-150630,9/17/2015,9/21/2015,TB-21520,3.264,2,1.1016
US-2015-150630,9/17/2015,9/21/2015,TB-21520,86.304,6,9.7092
US-2015-150630,9/17/2015,9/21/2015,TB-21520,6.858,6,-5.715
US-2015-150630,9/17/2015,9/21/2015,TB-21520,15.76,2,3.546
CA-2017-107727,10/19/2017,10/23/2017,MA-17560,29.472,3,9.9468
CA-2016-117590,12/8/2016,12/10/2016,GH-14485,1097.544,7,123.4737
CA-2016-117590,12/8/2016,12/10/2016,GH-14485,190.92,5,-147.963
CA-2015-117415,12/27/2015,12/31/2015,SN-20710,113.328,9,35.415
CA-2015-117415,12/27/2015,12/31/2015,SN-20710,532.3992,3,-46.9764
CA-2015-117415,12/27/2015,12/31/2015,SN-20710,212.058,3,-15.147
CA-2015-117415,12/27/2015,12/31/2015,SN-20710,371.168,4,41.7564
CA-2017-120999,9/10/2017,9/15/2017,LC-16930,147.168,4,16.5564
CA-2016-101343,7/17/2016,7/22/2016,RA-19885,77.88,2,3.894
CA-2017-139619,9/19/2017,9/23/2017,ES-14080,95.616,2,9.5616
CA-2016-118255,3/11/2016,3/13/2016,ON-18715,45.98,2,19.7714
CA-2016-118255,3/11/2016,3/13/2016,ON-18715,17.46,2,8.2062
CA-2014-146703,10/20/2014,10/25/2014,PO-18865,211.96,4,8.4784
CA-2016-169194,6/20/2016,6/25/2016,LH-16900,45.0,3,4.95
CA-2016-169194,6/20/2016,6/25/2016,LH-16900,21.8,2,6.104
CA-2015-115742,4/18/2015,4/22/2015,DP-13000,38.22,6,17.9634
CA-2015-115742,4/18/2015,4/22/2015,DP-13000,75.18,6,35.3346
CA-2015-115742,4/18/2015,4/22/2015,DP-13000,6.16,2,2.9568
CA-2015-115742,4/18/2015,4/22/2015,DP-13000,89.99,1,17.0981
CA-2016-105816,12/11/2016,12/17/2016,JM-15265,15.26,7,6.2566
CA-2016-105816,12/11/2016,12/17/2016,JM-15265,1029.95,5,298.6855
CA-2016-111682,6/17/2016,6/18/2016,TB-21055,208.56,6,52.14
CA-2016-111682,6/17/2016,6/18/2016,TB-21055,32.4,5,15.552
CA-2016-111682,6/17/2016,6/18/2016,TB-21055,319.41,5,7.098
CA-2016-111682,6/17/2016,6/18/2016,TB-21055,14.56,2,6.9888
CA-2016-111682,6/17/2016,6/18/2016,TB-21055,30.0,2,3.3
CA-2016-111682,6/17/2016,6/18/2016,TB-21055,48.48,4,16.362
CA-2016-111682,6/17/2016,6/18/2016,TB-21055,1.68,1,0.84
CA-2015-135545,11/24/2015,11/30/2015,KM-16720,13.98,2,6.1512
CA-2015-135545,11/24/2015,11/30/2015,KM-16720,25.824,6,9.3612
CA-2015-135545,11/24/2015,11/30/2015,KM-16720,146.73,3,68.9631
CA-2015-135545,11/24/2015,11/30/2015,KM-16720,79.76,4,22.3328
US-2015-164175,4/30/2015,5/5/2015,PS-18970,213.115,5,-15.2225
CA-2014-106376,12/5/2014,12/10/2014,BS-11590,1113.024,8,111.3024
CA-2014-106376,12/5/2014,12/10/2014,BS-11590,167.968,4,62.988
CA-2016-119823,6/4/2016,6/6/2016,KD-16270,75.88,2,35.6636
CA-2016-106075,9/18/2016,9/23/2016,HM-14980,4.616,1,1.731
CA-2017-114440,9/14/2017,9/17/2017,TB-21520,19.05,3,8.763
US-2015-134026,4/26/2015,5/2/2015,JE-15745,831.936,8,-114.3912
US-2015-134026,4/26/2015,5/2/2015,JE-15745,97.04,2,1.213
US-2015-134026,4/26/2015,5/2/2015,JE-15745,72.784,1,-18.196
US-2017-118038,12/9/2017,12/11/2017,KB-16600,1.248,3,-1.9344
US-2017-118038,12/9/2017,12/11/2017,KB-16600,9.708,3,-5.8248
US-2017-118038,12/9/2017,12/11/2017,KB-16600,27.24,3,2.724
US-2014-147606,11/26/2014,12/1/2014,JE-15745,19.3,5,-14.475
CA-2016-127208,6/12/2016,6/15/2016,SC-20770,208.16,1,56.2032
CA-2016-127208,6/12/2016,6/15/2016,SC-20770,16.74,3,8.0352
CA-2014-139451,10/12/2014,10/16/2014,DN-13690,14.9,5,4.172
CA-2014-139451,10/12/2014,10/16/2014,DN-13690,21.39,1,6.2031
CA-2015-149734,9/3/2015,9/8/2015,JC-16105,200.984,7,62.8075
US-2017-119662,11/13/2017,11/16/2017,CS-12400,230.376,3,-48.9549
CA-2017-140088,5/28/2017,5/30/2017,PO-18865,301.96,2,33.2156
CA-2017-155558,10/26/2017,11/2/2017,PG-18895,19.99,1,6.7966
CA-2017-155558,10/26/2017,11/2/2017,PG-18895,6.16,2,2.9568
CA-2016-159695,4/5/2016,4/10/2016,GM-14455,158.368,7,13.8572
CA-2016-109806,9/17/2016,9/22/2016,JS-15685,20.1,3,6.633
